phrase	phrase_ipa	oronym	oronym_ipa	distance
British India He	bɹɪtɪʃɪndiəhi	british + india + hee	bɹɪtɪʃɪndiəhi	0.0000
British India He	bɹɪtɪʃɪndiəhi	british + in. + dhia + he	bɹɪtɪʃɪndiəhi	0.0000
British India He	bɹɪtɪʃɪndiəhi	british + in. + dhia + hee	bɹɪtɪʃɪndiəhi	0.0000
British India He	bɹɪtɪʃɪndiəhi	british + in. + dia + he	bɹɪtɪʃɪndiəhi	0.0000
residential town	ɹɛzɪdɛnʃəɫtaʊn	residential + towne	ɹɛzɪdɛnʃəɫtaʊn	0.0000
residential town	ɹɛzɪdɛnʃəɫtaʊn	residential + down	ɹɛzɪdɛnʃəɫdaʊn	0.0256
residential town	ɹɛzɪdɛnʃəɫtaʊn	residential + downe	ɹɛzɪdɛnʃəɫdaʊn	0.0256
residential town	ɹɛzɪdɛnʃəɫtaʊn	residential + taos	ɹɛzɪdɛnʃəɫtaʊz	0.0256
was arrested and stripped	wɑzɝɛstɪdəndstɹɪpt	was + arrested + und + stripped	wɑzɝɛstɪdəndstɹɪpt	0.0000
was arrested and stripped	wɑzɝɛstɪdəndstɹɪpt	wah's + arrested + und + stripped	wɑzɝɛstɪdəndstɹɪpt	0.0000
was arrested and stripped	wɑzɝɛstɪdəndstɹɪpt	wah's + arrested + and + stripped	wɑzɝɛstɪdəndstɹɪpt	0.0000
was arrested and stripped	wɑzɝɛstɪdəndstɹɪpt	waas + arrested + and + stripped	wɑzɝɛstɪdəndstɹɪpt	0.0000
was arrested and stripped	wɑzɝɛstɪdəndstɹɪpt	waas + arrested + und + stripped	wɑzɝɛstɪdəndstɹɪpt	0.0000
times George Snider	taɪmzdʒɔɹdʒsnaɪdɝ	times + george + sneider	taɪmzdʒɔɹdʒsnaɪdɝ	0.0000
times George Snider	taɪmzdʒɔɹdʒsnaɪdɝ	times + george + snyder	taɪmzdʒɔɹdʒsnaɪdɝ	0.0000
times George Snider	taɪmzdʒɔɹdʒsnaɪdɝ	time's + george + sneider	taɪmzdʒɔɹdʒsnaɪdɝ	0.0000
times George Snider	taɪmzdʒɔɹdʒsnaɪdɝ	time's + george + snider	taɪmzdʒɔɹdʒsnaɪdɝ	0.0000
all issues are currently	ɔɫɪʃuzɑɹkɝəntɫi	all + issue + csar + currently	ɔɫɪʃuzɑɹkɝəntɫi	0.0000
all issues are currently	ɔɫɪʃuzɑɹkɝəntɫi	all + issue + zarre + currently	ɔɫɪʃuzɑɹkɝəntɫi	0.0000
all issues are currently	ɔɫɪʃuzɑɹkɝəntɫi	all + issue + czar + currently	ɔɫɪʃuzɑɹkɝəntɫi	0.0000
all issues are currently	ɔɫɪʃuzɑɹkɝəntɫi	all + issues + ahr + currently	ɔɫɪʃuzɑɹkɝəntɫi	0.0000
all issues are currently	ɔɫɪʃuzɑɹkɝəntɫi	all + issues + ar + currently	ɔɫɪʃuzɑɹkɝəntɫi	0.0000
Trey Kiel	tɹeɪkiɫ	tre + keal	tɹeɪkiɫ	0.0000
Trey Kiel	tɹeɪkiɫ	tre + keel	tɹeɪkiɫ	0.0000
Trey Kiel	tɹeɪkiɫ	tre + keele	tɹeɪkiɫ	0.0000
Trey Kiel	tɹeɪkiɫ	tre + keil	tɹeɪkiɫ	0.0000
Trey Kiel	tɹeɪkiɫ	tre + kheel	tɹeɪkiɫ	0.0000
Physiological Mechanism	fɪziəɫɑdʒɪkəɫmɛkənɪzəm	physiologic + uhl + mechanism	fɪziəɫɑdʒɪkəɫmɛkənɪzəm	0.0000
Physiological Mechanism	fɪziəɫɑdʒɪkəɫmɛkənɪzəm	physiologic + ul + mechanism	fɪziəɫɑdʒɪkəɫmɛkənɪzəm	0.0000
Physiological Mechanism	fɪziəɫɑdʒɪkəɫmɛkənɪzəm	fizz + ia + logical + mechanism	fɪziəɫɑdʒɪkəɫmɛkənɪzəm	0.0000
Physiological Mechanism	fɪziəɫɑdʒɪkəɫmɛkənɪzəm	physiological + mech + 'n + ism	fɪziəɫɑdʒɪkəɫmɛkənɪzəm	0.0000
label also	ɫeɪbəɫɔɫsoʊ	laible + also	ɫeɪbəɫɔɫsoʊ	0.0000
label also	ɫeɪbəɫɔɫsoʊ	labe + ul + also	ɫeɪbəɫɔɫsoʊ	0.0000
label also	ɫeɪbəɫɔɫsoʊ	label + aul + sew	ɫeɪbəɫɔɫsoʊ	0.0000
label also	ɫeɪbəɫɔɫsoʊ	label + aul + so	ɫeɪbəɫɔɫsoʊ	0.0000
down The	daʊnðə	downe + the	daʊnðə	0.0000
mountain catchment	maʊntənkætʃmənt	mountain + catch + mundt	maʊntənkætʃmənt	0.0000
mountain catchment	maʊntənkætʃmənt	mountain + catch + munt	maʊntənkætʃmənt	0.0000
mountain catchment	maʊntənkætʃmənt	mountain + kach + mundt	maʊntənkætʃmənt	0.0000
mountain catchment	maʊntənkætʃmənt	mountain + kach + munt	maʊntənkætʃmənt	0.0000
constructed as	kənstɹəktɪdæz	construct + ihde + as	kənstɹəktɪdæz	0.0000
constructed as	kənstɹəktɪdæz	kun + struck + tidd + as	kənstɹəktɪdæz	0.0000
constructed as	kənstɹəktɪdæz	kunce + truck + tidd + as	kənstɹəktɪdæz	0.0000
constructed as	kənstɹəktɪdæz	kuhne + struck + tidd + as	kənstɹəktɪdæz	0.0000
was Colombian	wɑzkəɫəmbiən	wah's + colombian	wɑzkəɫəmbiən	0.0000
was Colombian	wɑzkəɫəmbiən	waas + colombian	wɑzkəɫəmbiən	0.0000
was Colombian	wɑzkəɫəmbiən	wah's + cullom + b + 'n	wɑzkəɫəmbiən	0.0000
was Colombian	wɑzkəɫəmbiən	wah's + cullum + bee + 'n	wɑzkəɫəmbiən	0.0000
Yorke were his	jɔɹkwɝhɪz	yorke + we're + his	jɔɹkwɝhɪz	0.0000
Yorke were his	jɔɹkwɝhɪz	york + were + his	jɔɹkwɝhɪz	0.0000
Yorke were his	jɔɹkwɝhɪz	york + we're + his	jɔɹkwɝhɪz	0.0000
Yorke were his	jɔɹkwɝhɪz	yorke + were + he's	jɔɹkwɝhiz	0.0278
is small	ɪzsmɔɫ	e's + small	izsmɔɫ	0.0417
is small	ɪzsmɔɫ	e.'s + small	izsmɔɫ	0.0417
is small	ɪzsmɔɫ	e.s + small	izsmɔɫ	0.0417
is small	ɪzsmɔɫ	ease + small	izsmɔɫ	0.0417
of Tasmania on three	əvtæzmeɪniəɔnθɹi	of + tasmania + aune + three	əvtæzmeɪniəɔnθɹi	0.0000
of Tasmania on three	əvtæzmeɪniəɔnθɹi	of + tasmania + on + shri	əvtæzmeɪniəɔnʃɹi	0.0208
of Tasmania on three	əvtæzmeɪniəɔnθɹi	of + tasmania + on + sri	əvtæzmeɪniəɔnʃɹi	0.0208
Fee They all	fiðeɪɔɫ	fie + they + all	fiðeɪɔɫ	0.0000
Fee They all	fiðeɪɔɫ	fie + they + aul	fiðeɪɔɫ	0.0000
Fee They all	fiðeɪɔɫ	fie + they + aull	fiðeɪɔɫ	0.0000
Fee They all	fiðeɪɔɫ	fee + they + aul	fiðeɪɔɫ	0.0000
during the th	djʊɹɪŋðətieɪtʃ	during + the + t + h	djʊɹɪŋðətieɪtʃ	0.0000
during the th	djʊɹɪŋðətieɪtʃ	during + the + t + h.	djʊɹɪŋðətieɪtʃ	0.0000
during the th	djʊɹɪŋðətieɪtʃ	during + the + t. + h	djʊɹɪŋðətieɪtʃ	0.0000
during the th	djʊɹɪŋðətieɪtʃ	during + the + t. + h.	djʊɹɪŋðətieɪtʃ	0.0000
Women Rugby World	wɪmənɹəɡbiwɝɫd	women + rugby + whirled	wɪmənɹəɡbiwɝɫd	0.0000
Women Rugby World	wɪmənɹəɡbiwɝɫd	women + rugg + bea + whirled	wɪmənɹəɡbiwɝɫd	0.0000
Women Rugby World	wɪmənɹəɡbiwɝɫd	women + rugg + bea + world	wɪmənɹəɡbiwɝɫd	0.0000
Women Rugby World	wɪmənɹəɡbiwɝɫd	women + rugg + bee + whirled	wɪmənɹəɡbiwɝɫd	0.0000
on December when	ɔndɪsɛmbɝhwɛn	aune + december + when	ɔndɪsɛmbɝhwɛn	0.0000
on December when	ɔndɪsɛmbɝhwɛn	aune + dis + ember + when	ɔndɪsɛmbɝhwɛn	0.0000
on December when	ɔndɪsɛmbɝhwɛn	on + dis + ember + when	ɔndɪsɛmbɝhwɛn	0.0000
on December when	ɔndɪsɛmbɝhwɛn	on + december + schwenn	ɔndɪsɛmbɝʃwɛn	0.0256
and Chloe	əndkɫoʊi	and + cloey	əndkɫoʊi	0.0000
and Chloe	əndkɫoʊi	und + chloe	əndkɫoʊi	0.0000
and Chloe	əndkɫoʊi	und + cloey	əndkɫoʊi	0.0000
and Chloe	əndkɫoʊi	and + blowy	əndbɫoʊi	0.0938
so far Furthermore	soʊfɑɹfɝðɝmɔɹ	so + phar + furthermore	soʊfɑɹfɝðɝmɔɹ	0.0000
so far Furthermore	soʊfɑɹfɝðɝmɔɹ	sew + far + furthermore	soʊfɑɹfɝðɝmɔɹ	0.0000
